t,x,y,x_ref,y_ref,error
45.318,-2.3534958395711967,2.5934557199534614,2.5,0.0,5.502947795145275
45.32,-2.353046876531965,2.5937582589552233,2.5,0.0,5.5026944210736515
45.322,-2.3525980659058687,2.594060701467085,2.5,0.0,5.502441177525598
45.324,-2.352149405834852,2.5943630667916455,2.5,0.0,5.502188071928845
45.326,-2.351700894004688,2.5946653707487886,2.5,0.0,5.501935109672672
45.328,-2.351252527902912,2.5949676267309196,2.5,0.0,5.501682294831817
45.33,-2.350804304965459,2.5952698464442947,2.5,0.0,5.501429630644604
45.332,-2.35035622265593,2.595572040422234,2.5,0.0,5.501177119824333
45.334,-2.3499081390853784,2.595874072328651,2.5,0.0,5.500924572919969
45.336,-2.349460231331713,2.596175431042432,2.5,0.0,5.500671904778197
45.338,-2.3490162848258658,2.5964739458447523,2.5,0.0,5.500421427668707
45.34,-2.348580492797188,2.5967665243853713,2.5,0.0,5.50017537695862
45.342,-2.3481556144332125,2.597050623063893,2.5,0.0,5.499934981480856
45.344,-2.347742718749606,2.597324687153353,2.5,0.0,5.499700446177599
45.346000000000004,-2.3473421480864425,2.5975882689251826,2.5,0.0,5.499471857867173
45.348,-2.3469541253573065,2.597840941961306,2.5,0.0,5.499249208123653
45.35,-2.3465791432965317,2.598081635690557,2.5,0.0,5.499032421976567
45.352000000000004,-2.346217565244937,2.598308780329843,2.5,0.0,5.4988210743420005
45.354,-2.345868736486392,2.598521767852774,2.5,0.0,5.498614297189877
45.356,-2.3455328526387147,2.5987204613184693,2.5,0.0,5.498412194631861
45.358000000000004,-2.3452095020984802,2.5989046303732874,2.5,0.0,5.498214291658804
45.36,-2.3448958428447058,2.599076407824135,2.5,0.0,5.498019088883006
45.362,-2.3445878266652644,2.5992385927769237,2.5,0.0,5.497824339905217
45.364000000000004,-2.3442830196023965,2.5993933824361495,2.5,0.0,5.497628937156541
45.366,-2.343979649308746,2.599541899908844,2.5,0.0,5.497431848808948
45.368,-2.34367628260387,2.599685716047326,2.5,0.0,5.497232554011131
45.37,-2.343372142110206,2.5998258871641267,2.5,0.0,5.497030866798725
45.372,-2.3430668150011607,2.5999629162439044,2.5,0.0,5.496826660938927
45.374,-2.3427600632048584,2.6000970572103466,2.5,0.0,5.49661984647709
45.376,-2.342451567378022,2.6002284586108733,2.5,0.0,5.496410212072216
45.378,-2.3421411304761652,2.6003571739481215,2.5,0.0,5.496197609216071
45.38,-2.3418286368145123,2.6004831942885906,2.5,0.0,5.495981931561863
45.382,-2.3415140244723567,2.6006064706219094,2.5,0.0,5.495763101171944
45.384,-2.341197267965195,2.6007269286426973,2.5,0.0,5.495541060234283
45.386,-2.340878367202049,2.6008444783773497,2.5,0.0,5.49531576588195
45.388,-2.340557340308279,2.6009590204211146,2.5,0.0,5.495087186817178
45.39,-2.340234218807868,2.601070449988963,2.5,0.0,5.4948553009814916
45.392,-2.3399090442671833,2.6011786595666315,2.5,0.0,5.49462009385218
45.394,-2.3395818658592047,2.601283540666263,2.5,0.0,5.494381557126741
45.396,-2.3392527385209276,2.6013849850068516,2.5,0.0,5.494139687658241
45.398,-2.338921721504149,2.6014828853220533,2.5,0.0,5.493894486561262
45.4,-2.3385888771965075,2.6015771359235775,2.5,0.0,5.49364595844054
45.402,-2.338254270637547,2.601667633287531,2.5,0.0,5.493394111242921
45.404,-2.337917971841555,2.601754277616655,2.5,0.0,5.493138959043733
45.406,-2.3375800545224803,2.6018369734345126,2.5,0.0,5.492880521206025
45.408,-2.3372405922000183,2.6019156284282636,2.5,0.0,5.492618818404098
45.410000000000004,-2.3368996564709676,2.6019901532366587,2.5,0.0,5.492353871001894
45.412,-2.336557316197454,2.602060461425557,2.5,0.0,5.492085698327849
45.414,-2.336213637080331,2.6021264694853614,2.5,0.0,5.491814318299382
45.416000000000004,-2.3358686814076997,2.602188096817041,2.5,0.0,5.4915397471962395
45.418,-2.3355225078917106,2.6022452657089516,2.5,0.0,5.491261999507215
45.42,-2.3351751715569242,2.6022979013100547,2.5,0.0,5.490981087820577
45.422000000000004,-2.3348267236636517,2.602345931602941,2.5,0.0,5.490697022745161
45.424,-2.334477211658077,2.602389287377746,2.5,0.0,5.490409812855477
45.426,-2.3341266791445494,2.6024279022067414,2.5,0.0,5.490119464656602
45.428000000000004,-2.33377516626404,2.602461710043935,2.5,0.0,5.489825981780821
45.43,-2.33342272259089,2.6024905659920914,2.5,0.0,5.489529338780855
45.432,-2.3330702756542006,2.6025141667129943,2.5,0.0,5.489230208085101
45.434,-2.3327191398541607,2.6025322274972273,2.5,0.0,5.4889296114884205
45.436,-2.332370518412073,2.6025446248031714,2.5,0.0,5.4886285492197455
45.438,-2.3320254707171886,2.602551399814856,2.5,0.0,5.488327972920162
45.44,-2.33168501265287,2.6025527172641407,2.5,0.0,5.488028854482575
45.442,-2.3313500903184305,2.6025488103543237,2.5,0.0,5.487732136820876
45.444,-2.3310215910752583,2.6025395936357483,2.5,0.0,5.487438560009309
45.446,-2.3307004581485535,2.602525408222846,2.5,0.0,5.487149115597474
45.448,-2.3303874048999127,2.602506674490239,2.5,0.0,5.486864630386097
45.45,-2.330083128034162,2.6024838318327013,2.5,0.0,5.486585925570736
45.452,-2.3297883431635253,2.6024572948543536,2.5,0.0,5.486313827270448
45.454,-2.329503764928412,2.6024273895512393,2.5,0.0,5.4860491187505955
45.456,-2.329230081620215,2.602394469441277,2.5,0.0,5.485792573166082
45.458,-2.328967820298716,2.60235891349388,2.5,0.0,5.485544833844819
45.46,-2.328717516744583,2.602321100327019,2.5,0.0,5.4853065516635615
45.462,-2.3284797030710966,2.602281410193241,2.5,0.0,5.485078375083337
45.464,-2.328254904941582,2.6022402252846155,2.5,0.0,5.484860947843781
45.466,-2.3280435847040306,2.602197947230442,2.5,0.0,5.484654867206511
45.468,-2.3278460078659533,2.602155043384661,2.5,0.0,5.484460588378719
45.47,-2.3276623660689086,2.6021120168405134,2.5,0.0,5.484278518542239
45.472,-2.327492842561293,2.60206937101082,2.5,0.0,5.484109057680487
45.474000000000004,-2.3273376101281817,2.602027607188036,2.5,0.0,5.483952595594419
45.476,-2.3271968325484425,2.601987222477097,2.5,0.0,5.483809512200418
45.478,-2.327070665462486,2.6019487086268795,2.5,0.0,5.4836801777358914
45.480000000000004,-2.3269592570841753,2.601912551117041,2.5,0.0,5.483564952949039
45.482,-2.326862748764868,2.601879228327649,2.5,0.0,5.483464189197995
45.484,-2.326781275438422,2.6018492107289295,2.5,0.0,5.483378228454947
45.486000000000004,-2.3267149659738413,2.6018229600727176,2.5,0.0,5.483307403230045
45.488,-2.3266639434585445,2.6018009285828088,2.5,0.0,5.483252036433959
45.49,-2.326628294830137,2.6017835492228825,2.5,0.0,5.483212410025868
45.492000000000004,-2.326608137675362,2.6017711967795325,2.5,0.0,5.4831888053454465
45.494,-2.3266036600948623,2.601764170099959,2.5,0.0,5.483181529774211
45.496,-2.3266150598604494,2.601762740006165,2.5,0.0,5.483190885912698
45.498,-2.326642798139402,2.6017662718300816,2.5,0.0,5.483216978568653
45.5,-2.326687343794899,2.601774140601224,2.5,0.0,5.483259923936772
45.502,-2.3267614089652784,2.6017912673705483,2.5,0.0,5.483333247035249
45.504,-2.3268668868102242,2.601820867607366,2.5,0.0,5.483440140103854
45.506,-2.327003126696821,2.6018634076954887,2.5,0.0,5.483580251755751
45.508,-2.3271685379578937,2.6019187419907426,2.5,0.0,5.48375211272111
45.51,-2.3273614201541974,2.6019863926664266,2.5,0.0,5.483953999480155
45.512,-2.327580142641092,2.6020658933245886,2.5,0.0,5.484184255367946
45.514,-2.3278232135252592,2.602156899457976,2.5,0.0,5.4844414036846185
45.516,-2.328089287084007,2.602259128709237,2.5,0.0,5.484724125879615
45.518,-2.328377152603346,2.602372290960673,2.5,0.0,5.485031218556728
45.52,-2.328685715185589,2.6024961066787804,2.5,0.0,5.485361585284563
45.522,-2.3290139815647235,2.6026303074555037,2.5,0.0,5.485714224368009
45.524,-2.329361045685912,2.6027746347337595,2.5,0.0,5.486088215550492
45.526,-2.329726076828283,2.602928837418801,2.5,0.0,5.486482708426365
45.528,-2.3301041458919087,2.603093852057207,2.5,0.0,5.486893808228863
45.53,-2.3304925044305698,2.603272134287279,2.5,0.0,5.48732026042918
45.532000000000004,-2.33089173065409,2.603462776004486,2.5,0.0,5.487762143109252
45.534,-2.331302271780648,2.60366476201558,2.5,0.0,5.488219368271872
45.536,-2.3317243609188893,2.603877037069023,2.5,0.0,5.488691640461541
45.538000000000004,-2.3321580797203145,2.6040985925913636,2.5,0.0,5.489178553057155
45.54,-2.3326033767011403,2.6043285255066393,2.5,0.0,5.489679632298304
45.542,-2.3330601410917082,2.6045660355211573,2.5,0.0,5.490194401002555
45.544000000000004,-2.3335282742053374,2.6048104932858345,2.5,0.0,5.490722473725513
45.546,-2.334008768585687,2.6050608367235366,2.5,0.0,5.491264220358918
45.548,-2.334500876663553,2.6053168342873274,2.5,0.0,5.491818872967462
45.550000000000004,-2.3350035263772164,2.605578116899237,2.5,0.0,5.492385312716532
45.552,-2.3355154403790537,2.60584423274752,2.5,0.0,5.492962200806387
45.554,-2.3360302966385134,2.6061126883375554,2.5,0.0,5.493542788976854
