t,x_ref,y_ref,x_real,y_real,e_pos,yaw_error
14.418000000000001,0.576800000000038,0.0,0.34279106758542904,0.022935164931924826,0.23513018147460268,-0.0037625490207184725
14.42,0.5768800000000379,0.0,0.34287527849133725,0.02303980155235818,0.23513622039987078,-0.0047153403516755205
14.422,0.5769600000000379,0.0,0.34296123353459834,0.023145790153325622,0.23514070321654035,-0.0056575824775298295
14.424,0.5770400000000379,0.0,0.34304894266152935,0.023253144769785898,0.2351436234646345,-0.006589145376586601
14.426,0.5771200000000378,0.0,0.3431384150531022,0.02336187952541234,0.23514497551349026,-0.007509927202223612
14.428,0.5772000000000378,0.0,0.34322963727424255,0.023472021237807325,0.23514477756273533,-0.008419932624393207
14.43,0.5772800000000378,0.0,0.343322592936396,0.023583598269170433,0.235143050986552,-0.009319196848982803
14.432,0.5773600000000377,0.0,0.34341726683059337,0.0236966383535181,0.23513981600751344,-0.01020777048430073
14.434000000000001,0.5774400000000377,0.0,0.34351364491678893,0.023811168765682972,0.23513509172499547,-0.011085720184287858
14.436,0.5775200000000377,0.0,0.34361171429399845,0.02392721644476474,0.2351288961585383,-0.01195312902981599
14.438,0.5776000000000376,0.0,0.34371146316344997,0.024044808082718833,0.23512124629495865,-0.012810096711077218
14.44,0.5776800000000376,0.0,0.34381288142625455,0.024163970076682875,0.2351121574905703,-0.013656736025248613
14.442,0.5777600000000376,0.0,0.34391597531087253,0.02428472601059559,0.23510162866351336,-0.014493091465951263
14.444,0.5778400000000375,0.0,0.3440198627332693,0.024405665316659476,0.2350903934468594,-0.0153093457543636
14.446,0.5779200000000375,0.0,0.34412411283552524,0.024526233393364294,0.23507882290735407,-0.016103189704559064
14.448,0.5780000000000375,0.0,0.3442282178452966,0.024645814711219637,0.23506735697366274,-0.016871467748435218
14.450000000000001,0.5780800000000375,0.0,0.34433184724008026,0.024763848920953953,0.23505626375842895,-0.01761030033306984
14.452,0.5781600000000374,0.0,0.34443471513558677,0.024879792215426046,0.23504576755528142,-0.018316294371391192
14.454,0.5782400000000374,0.0,0.3445365476032257,0.024993132981215114,0.2350360830987564,-0.018986564999556393
14.456,0.5783200000000374,0.0,0.3446371019357389,0.025103412246631505,0.23502739873077277,-0.019618548773890715
14.458,0.5784000000000373,0.0,0.34473616024923925,0.025210212953473712,0.23501988180629768,-0.020209959449415227
14.46,0.5784800000000373,0.0,0.3448334943326669,0.025313169547706398,0.23501371484048217,-0.020758710246570444
14.462,0.5785600000000373,0.0,0.3449288512645708,0.02541196859770229,0.23500911005206643,-0.02126286392009498
14.464,0.5786400000000372,0.0,0.3450219975603668,0.025506317003084783,0.23500626219520984,-0.021720666008249886
14.466000000000001,0.5787200000000372,0.0,0.3451127152196597,0.02559593863183214,0.23500535223033733,-0.02213052211477355
14.468,0.5788000000000372,0.0,0.3452007986690181,0.025680571580897676,0.23500655016235525,-0.02249097897008591
14.47,0.5788800000000371,0.0,0.34528605237723053,0.02575996596903412,0.23501001726039747,-0.022800708634207606
14.472,0.5789600000000371,0.0,0.3453682889885782,0.025833882167196155,0.23501590780432188,-0.023058495371485493
14.474,0.5790400000000371,0.0,0.3454473278600712,0.02590208938423853,0.2350243704639131,-0.023263224799733723
14.476,0.579120000000037,0.0,0.3455230387684759,0.025965064428826748,0.23503558213047787,-0.023415170783522985
14.478,0.579200000000037,0.0,0.345595551788243,0.02602360338172932,0.23504949724963525,-0.023514413121514893
14.48,0.579280000000037,0.0,0.34566510356640107,0.026078360365926676,0.23506594971427394,-0.02356039504156139
14.482000000000001,0.579360000000037,0.0,0.3457317942510258,0.02612968111859111,0.2350848756446521,-0.023551793882629138
14.484,0.5794400000000369,0.0,0.34579576408232027,0.026177848810326847,0.23510616484029076,-0.023487722979636153
14.486,0.5795200000000369,0.0,0.3458571687443709,0.026223087118101077,0.23512968551082053,-0.023367630982750506
14.488,0.5796000000000369,0.0,0.3459161638127157,0.02626556855152688,0.23515530057083062,-0.02319122016236308
14.49,0.5796800000000368,0.0,0.3459728959069468,0.026305422630439782,0.23518287727499312,-0.022958389025817358
14.492,0.5797600000000368,0.0,0.3460274982524602,0.026342743514121723,0.23521229242756786,-0.022669191896285978
14.494,0.5798400000000368,0.0,0.34608008889442693,0.026377596732880412,0.23524343487014696,-0.02232380999476115
14.496,0.5799200000000367,0.0,0.3461307704685102,0.026410024935805337,0.2352762063236626,-0.02192253043634451
