t,x_ref,y_ref,x_real,y_real,z_real,ex,ey,e_pos
0.082,0.00246,0.0,-0.0013811918436125446,6.15025969849963e-05,0.32628794919154913,0.0038411918436125443,-6.15025969849963e-05,0.003841684181302705
0.084,0.00252,0.0,-0.001467864727536911,6.620917961438057e-05,0.32620946664706335,0.003987864727536912,-6.620917961438057e-05,0.003988414314059945
0.08600000000000001,0.0025800000000000003,0.0,-0.0015553012687413257,7.106319382595105e-05,0.32613990407266436,0.004135301268741326,-7.106319382595105e-05,0.004135911817334886
0.088,0.0026399999999999996,0.0,-0.001643280565354396,7.606481395013511e-05,0.32607832675060705,0.004283280565354396,-7.606481395013511e-05,0.004283955912175561
0.09,0.0026999999999999997,0.0,-0.0017316063501034411,8.121415572493739e-05,0.3260238888817806,0.00443160635010344,-8.121415572493739e-05,0.004432350457868517
0.092,0.00276,0.0,-0.0018203064081254064,8.643287733162048e-05,0.3259752827451984,0.004580306408125406,-8.643287733162048e-05,0.00458112185327988
0.094,0.00282,0.0,-0.0019094312726037703,9.169368141462108e-05,0.3259313336849148,0.00472943127260377,-9.169368141462108e-05,0.00473032006247927
0.096,0.0028799999999999997,0.0,-0.0019990362125190237,9.69750689933981e-05,0.32589097989319304,0.004879036212519023,-9.69750689933981e-05,0.0048799998490858835
0.098,0.00294,0.0,-0.0020891352211549604,0.00010232535186903855,0.325853198167227,0.00502913522115496,-0.00010232535186903855,0.005030176095356551
0.1,0.003,0.0,-0.0021797141512362385,0.0001077657019964733,0.3258170406410722,0.005179714151236239,-0.0001077657019964733,0.0051808350808575
0.10200000000000001,0.0030600000000000002,0.0,-0.0022707607978351176,0.00011329053529579138,0.32578165759302324,0.005330760797835118,-0.00011329053529579138,0.005331964499987158
0.10400000000000001,0.00312,0.0,-0.0023622703359858855,0.00011890280181502709,0.3257462894854597,0.005482270335985886,-0.00011890280181502709,0.005483559602403375
0.106,0.0031799999999999997,0.0,-0.0024542450809884073,0.00012460653699163262,0.3257102602405682,0.0056342450809884065,-0.00012460653699163262,0.005635622806904585
0.108,0.00324,0.0,-0.002546694059654737,0.00013040211330455273,0.32567297069391316,0.005786694059654736,-0.00013040211330455273,0.005788163167292169
0.11,0.0033,0.0,-0.0026396319014777795,0.00013628681106670078,0.32563389088205474,0.0059396319014777795,-0.00013628681106670078,0.005941195268624258
0.112,0.00336,0.0,-0.0027330648383684653,0.00014225142522776216,0.3255925365790827,0.006093064838368465,-0.00014225142522776216,0.006094725144954567
0.114,0.00342,0.0,-0.0028269908763526685,0.00014828614361008942,0.3255484697449953,0.006246990876352668,-0.00014828614361008942,0.006248750578285249
0.116,0.00348,0.0,-0.002921400891567354,0.00015438530148766523,0.3255012995623372,0.0064014008915673545,-0.00015438530148766523,0.0064032623088449815
0.11800000000000001,0.00354,0.0,-0.003016241066958965,0.0001605621268084323,0.3254506397453605,0.006556241066958965,-0.0001605621268084323,0.006558206852840529
0.12,0.0036,0.0,-0.0031114634343710743,0.00016682814617621964,0.3253961625114331,0.006711463434371075,-0.00016682814617621964,0.006713536553952512
0.122,0.0036599999999999996,0.0,-0.0032070249023713965,0.0001731934156211499,0.32533759190042827,0.006867024902371396,-0.0001731934156211499,0.006869208613006552
0.124,0.0037199999999999998,0.0,-0.003302886627196477,0.00017965168844460974,0.3252746999675833,0.007022886627196477,-0.00017965168844460974,0.007025184076422205
0.126,0.00378,0.0,-0.00339901331898106,0.00018619490601996173,0.32520730029302275,0.00717901331898106,-0.00018619490601996173,0.0071814274888169155
0.128,0.00384,0.0,-0.003495372711876129,0.00019281495754715553,0.3251352435797863,0.007335372711876129,-0.00019281495754715553,0.007337906406461646
0.13,0.0039,0.0,-0.003591935138861884,0.0001995035597236247,0.32505841400127944,0.007491935138861884,-0.0001995035597236247,0.007494590969176092
0.132,0.00396,0.0,-0.0036886731826630825,0.00020625216576520105,0.32497672598042093,0.0076486731826630825,-0.00020625216576520105,0.007651453548906393
0.134,0.00402,0.0,-0.0037855613870348293,0.00021305189738797883,0.32489012132347467,0.0078055613870348295,-0.00021305189738797883,0.007808468459163404
0.136,0.00408,0.0,-0.00388257601620482,0.00021989349482422687,0.3247985666489849,0.007962576016204821,-0.00021989349482422687,0.007965611713039134
0.138,0.0041400000000000005,0.0,-0.0039796948529559634,0.00022676728106456432,0.3247020510654619,0.008119694852955963,-0.00022676728106456432,0.008122860820233287
0.14,0.004200000000000001,0.0,-0.004076897027907247,0.0002336631373762607,0.3246005840615206,0.008276897027907248,-0.0002336631373762607,0.008280194615608279
0.14200000000000002,0.00426,0.0,-0.004174162874149057,0.00024057048780571906,0.3244941935798234,0.008434162874149057,-0.00024057048780571906,0.008437593113398948
0.14400000000000002,0.00432,0.0,-0.0042714738026242705,0.000247478290879122,0.32438292425201315,0.008591473802624271,-0.000247478290879122,0.0085950373824455
0.146,0.004379999999999999,0.0,-0.004368812199055778,0.00025437505452225416,0.3242668357206499,0.008748812199055777,-0.00025437505452225416,0.008752509443737287
