t,x_ref,y_ref,x_real,y_real,e_pos
37.708,1.0,0.5083200000000645,0.13518175361663556,-0.3381929919928614,1.2101631480467472
37.71,1.0,0.5084000000000645,0.13524640130486085,-0.3382287325718241,1.2101979165708707
37.712,1.0,0.5084800000000644,0.13531055893594296,-0.33826387968516225,1.2102326335345865
37.714,1.0,0.5085600000000644,0.13537422441836952,-0.3382984593124781,1.2102673183678676
37.716,1.0,0.5086400000000644,0.13543739726366033,-0.3383324618405341,1.2103019644562087
37.718,1.0,0.5087200000000643,0.13550007459023336,-0.33836588379965454,1.210336571192593
37.72,1.0,0.5088000000000643,0.13556225234044902,-0.33839872590479525,1.2103711417385723
37.722,1.0,0.5088800000000643,0.135623926009651,-0.3384309918049677,1.2104056816293438
37.724000000000004,1.0,0.5089600000000642,0.13568509102596027,-0.33846268724936035,1.210440197919682
37.726,1.0,0.5090400000000642,0.13574574289662808,-0.3384938195165296,1.2104746986805166
37.728,1.0,0.5091200000000642,0.1358058772893243,-0.3385243970478954,1.2105091926848277
37.730000000000004,1.0,0.5092000000000642,0.1358655015011065,-0.33855443580811423,1.2105436856753153
37.732,1.0,0.5092800000000641,0.1359246345369612,-0.33858395907053956,1.2105781801647353
37.734,1.0,0.5093600000000641,0.1359832958775927,-0.33861299067842027,1.210612678738646
37.736000000000004,1.0,0.5094400000000641,0.1360415049460561,-0.3386415545931134,1.2106471841197401
37.738,1.0,0.509520000000064,0.1360992808780784,-0.33866967469301335,1.210681699190717
37.74,1.0,0.509600000000064,0.1361566424611617,-0.3386973746940659,1.2107162269817509
37.742,1.0,0.509680000000064,0.13621360055702744,-0.3387246857660395,1.2107507814131426
37.744,1.0,0.5097600000000639,0.13627016312742268,-0.33875164080400716,1.2107853796953223
37.746,1.0,0.5098400000000639,0.13632634099414334,-0.3387782713055272,1.2108200360310588
37.748,1.0,0.5099200000000639,0.1363821686489977,-0.33880459484747727,1.2108547379956571
37.75,1.0,0.5100000000000638,0.13643768727708058,-0.3388306279132723,1.2108894676390185
37.752,1.0,0.5100800000000638,0.13649294212668503,-0.33885638893187264,1.210924205493401
37.754,1.0,0.5101600000000638,0.1365479809065049,-0.3388818967435088,1.2109589306423885
37.756,1.0,0.5102400000000638,0.13660285293721783,-0.33890716997133075,1.210993620885998
37.758,1.0,0.5103200000000637,0.13665760745346872,-0.3389322278358526,1.2110282545226747
37.76,1.0,0.5104000000000637,0.1367122909310017,-0.33895709226775794,1.2110628137364503
37.762,1.0,0.5104800000000637,0.13676695122562313,-0.3389817837807064,1.2110972787519232
37.764,1.0,0.5105600000000636,0.13682163683330398,-0.3390063217241843,1.2111316285388658
37.766,1.0,0.5106400000000636,0.13687639632838938,-0.3390307244340538,1.2111658413179698
37.768,1.0,0.5107200000000636,0.13693127792030454,-0.33905500933253907,1.2111998949465375
37.77,1.0,0.5108000000000635,0.13698632909859185,-0.33907919300479133,1.2112337672246871
37.772,1.0,0.5108800000000635,0.13704159634428398,-0.33910329126242106,1.2112674361450602
37.774,1.0,0.5109600000000635,0.13709712489193815,-0.33912731919817657,1.211300880100155
37.776,1.0,0.5110400000000634,0.13715295853138917,-0.33915129123373966,1.2113340780564774
37.778,1.0,0.5111200000000634,0.13720913944154964,-0.3391752211618064,1.2113670097018097
37.78,1.0,0.5112000000000634,0.13726570805075225,-0.3391991221833234,1.2113996555701363
37.782000000000004,1.0,0.5112800000000634,0.1373227029195281,-0.3392230069406325,1.2114319971476872
37.784,1.0,0.5113600000000633,0.1373801606426053,-0.33924688754722065,1.2114640169628874
37.786,1.0,0.5114400000000633,0.137438115767479,-0.3392707756147299,1.2114956986625582
37.788000000000004,1.0,0.5115200000000633,0.13749660945061695,-0.3392946950974639,1.21152702986895
37.79,1.0,0.5116000000000632,0.13755566123734217,-0.3393186688485582,1.2115580128325958
37.792,1.0,0.5116800000000632,0.13761528862738873,-0.33934271872109,1.2115886505694764
37.794000000000004,1.0,0.5117600000000632,0.13767550649250573,-0.3393668618833983,1.2116189446862184
37.796,1.0,0.5118400000000631,0.13773632800912108,-0.33939111102791997,1.2116488948606887
37.798,1.0,0.5119200000000631,0.13779776536963081,-0.33941547520125703,1.2116784989170435
37.800000000000004,1.0,0.5120000000000631,0.13785983019876574,-0.33943996055187353,1.2117077530533444
37.802,1.0,0.512080000000063,0.1379225337544786,-0.3394645709072061,1.2117366521030646
37.804,1.0,0.512160000000063,0.13798588699009487,-0.33948930820513634,1.2117651897932404
37.806,1.0,0.512240000000063,0.13804990053166558,-0.3395141728152678,1.2117933589856813
37.808,1.0,0.512320000000063,0.13811458460571574,-0.3395391637785897,1.2118211518962043
37.81,1.0,0.5124000000000629,0.1381799489398328,-0.3395642789866206,1.2118485602907025
37.812,1.0,0.5124800000000629,0.13824600265023002,-0.33958951531544335,1.211875575658784
37.814,1.0,0.5125600000000629,0.13831275412503866,-0.33961486872598745,1.211902189366715
37.816,1.0,0.5126400000000628,0.13838021090190775,-0.3396403343339252,1.2119283927930293
37.818,1.0,0.5127200000000628,0.13844837954195235,-0.3396659064535745,1.2119541774484202
37.82,1.0,0.5128000000000628,0.1385172655162811,-0.339691578631381,1.2119795350793168
37.822,1.0,0.5128800000000627,0.1385868731035687,-0.33971734367372775,1.212004457759579
37.824,1.0,0.5129600000000627,0.13865720529718084,-0.3397431936712761,1.2120289379729197
37.826,1.0,0.5130400000000627,0.13872826372044655,-0.33976912002120274,1.2120529686880197
37.828,1.0,0.5131200000000626,0.13880004854881722,-0.3397951134481762,1.212076543427824
37.83,1.0,0.5132000000000626,0.13887255843779706,-0.33982116402458845,1.2120996563341795
37.832,1.0,0.5132800000000626,0.13894579045565716,-0.3398472611903508,1.212122302228735
37.834,1.0,0.5133600000000625,0.13901974002004416,-0.33987339377243625,1.2121444766708662
37.836,1.0,0.5134400000000625,0.13909440083766797,-0.3398995500042744,1.21216617601328
37.838,1.0,0.5135200000000625,0.13916976484630433,-0.3399257175450645,1.2121873974558899
